---------------------------------------------------------------------------------------------

STARTING DOWNLOAD OF MERCATOR FORECAST
---------------------------------------------------------------------------------------------
exit
exit
exit
exit
exit
[Main]  
user=lglasner
pwd=kpt6yrnsRvVm
motu=https://nrt.cmems-du.eu/motu-web/Motu  
service_id=GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS
product_id=global-analysis-forecast-phy-001-024
date_min=2020-06-01
date_max=2020-06-31
latitude_min=-40  
latitude_max=-15  
longitude_min=-80  
longitude_max=-70    
depth_min=0.49402499198913574
depth_max=5727.9169921875
variable=thetao,uo,vo,zos,so
out_dir=. 
out_name=2020-06.nc   
log_level=20 
2022-11-07 16:48:22.056 [ INFO] Asynchronous mode set
2022-11-07 16:48:22.057 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:48:27.092 [ INFO] Requesting file to download (this can take a while)...
2022-11-07 16:48:34.898 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:48:49.344 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:48:59.355 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:49:11.832 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:49:21.843 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:49:35.283 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:49:45.293 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:49:59.753 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:50:09.764 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:50:23.202 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:50:33.212 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:50:47.879 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:50:57.889 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:51:12.114 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:51:22.118 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:51:40.644 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:51:50.654 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:52:10.584 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:52:20.595 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:52:38.738 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:52:48.748 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:53:06.898 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:53:16.909 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:53:33.134 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:53:43.145 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:54:01.940 [ INFO] The product is ready for download
2022-11-07 16:54:01.941 [ INFO] Downloading file (this can take a while)...
2022-11-07 16:54:04.015 [ INFO] File type: application/x-netcdf
2022-11-07 16:54:04.016 [ INFO] File size: 453.9 MB (453884744 B)
2022-11-07 16:54:04.016 [ INFO] Downloading file /storage/lucas/FORECAST/MERCATOR/FULLPHYSICS/HINDCAST/2020-06.nc
2022-11-07 16:54:16.017 [ INFO] - 453.9 MB (1.0%)
2022-11-07 16:54:18.556 [ INFO] - 453.9 MB (2.0%)
2022-11-07 16:54:20.295 [ INFO] - 453.9 MB (3.0%)
2022-11-07 16:54:21.801 [ INFO] - 453.9 MB (4.0%)
2022-11-07 16:54:23.109 [ INFO] - 453.9 MB (5.1%)
2022-11-07 16:54:24.318 [ INFO] - 453.9 MB (6.1%)
2022-11-07 16:54:25.695 [ INFO] - 453.9 MB (7.1%)
2022-11-07 16:54:26.465 [ INFO] - 453.9 MB (8.1%)
2022-11-07 16:54:27.158 [ INFO] - 453.9 MB (9.1%)
2022-11-07 16:54:27.919 [ INFO] - 453.9 MB (10.1%)
2022-11-07 16:54:28.620 [ INFO] - 453.9 MB (11.1%)
2022-11-07 16:54:29.463 [ INFO] - 453.9 MB (12.1%)
2022-11-07 16:54:30.311 [ INFO] - 453.9 MB (13.1%)
2022-11-07 16:54:31.056 [ INFO] - 453.9 MB (14.2%)
2022-11-07 16:54:31.904 [ INFO] - 453.9 MB (15.2%)
2022-11-07 16:54:32.812 [ INFO] - 453.9 MB (16.2%)
2022-11-07 16:54:33.682 [ INFO] - 453.9 MB (17.2%)
2022-11-07 16:54:34.488 [ INFO] - 453.9 MB (18.2%)
2022-11-07 16:54:35.342 [ INFO] - 453.9 MB (19.2%)
2022-11-07 16:54:36.135 [ INFO] - 453.9 MB (20.2%)
2022-11-07 16:54:36.835 [ INFO] - 453.9 MB (21.2%)
2022-11-07 16:54:37.652 [ INFO] - 453.9 MB (22.2%)
2022-11-07 16:54:38.481 [ INFO] - 453.9 MB (23.2%)
2022-11-07 16:54:39.338 [ INFO] - 453.9 MB (24.3%)
2022-11-07 16:54:39.926 [ INFO] - 453.9 MB (25.3%)
2022-11-07 16:54:40.784 [ INFO] - 453.9 MB (26.3%)
2022-11-07 16:54:41.668 [ INFO] - 453.9 MB (27.3%)
2022-11-07 16:54:42.489 [ INFO] - 453.9 MB (28.3%)
2022-11-07 16:54:43.388 [ INFO] - 453.9 MB (29.3%)
2022-11-07 16:54:44.310 [ INFO] - 453.9 MB (30.3%)
2022-11-07 16:54:45.077 [ INFO] - 453.9 MB (31.3%)
2022-11-07 16:54:46.104 [ INFO] - 453.9 MB (32.3%)
2022-11-07 16:54:47.153 [ INFO] - 453.9 MB (33.4%)
2022-11-07 16:54:48.217 [ INFO] - 453.9 MB (34.4%)
2022-11-07 16:54:49.286 [ INFO] - 453.9 MB (35.4%)
2022-11-07 16:54:50.517 [ INFO] - 453.9 MB (36.4%)
2022-11-07 16:54:51.828 [ INFO] - 453.9 MB (37.4%)
2022-11-07 16:54:53.214 [ INFO] - 453.9 MB (38.4%)
2022-11-07 16:54:54.519 [ INFO] - 453.9 MB (39.4%)
2022-11-07 16:54:55.830 [ INFO] - 453.9 MB (40.4%)
2022-11-07 16:54:57.232 [ INFO] - 453.9 MB (41.4%)
2022-11-07 16:54:58.637 [ INFO] - 453.9 MB (42.5%)
2022-11-07 16:55:00.054 [ INFO] - 453.9 MB (43.5%)
2022-11-07 16:55:01.474 [ INFO] - 453.9 MB (44.5%)
2022-11-07 16:55:02.943 [ INFO] - 453.9 MB (45.5%)
2022-11-07 16:55:03.958 [ INFO] - 453.9 MB (46.5%)
2022-11-07 16:55:05.522 [ INFO] - 453.9 MB (47.5%)
2022-11-07 16:55:07.517 [ INFO] - 453.9 MB (48.5%)
2022-11-07 16:55:08.931 [ INFO] - 453.9 MB (49.5%)
2022-11-07 16:55:09.879 [ INFO] - 453.9 MB (50.5%)
